day,CASH,JOBIN,JOBREJECTS,JOBQ,INV,S1Q,S1UTIL,S2Q,S2UTIL,S3Q,S3UTIL,JOBOUT,JOBT,JOBREV
1,1000.0,1.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1000.8,1.0,0.0,0.0,240.0,0.0,0.05,0.0,0.029,0.0,0.069,2.0,0.074,400.0
3,1001.6,2.0,0.0,0.0,240.0,0.0,0.05,0.0,0.029,0.0,0.069,2.0,0.074,400.0
4,1002.4,2.0,0.0,0.0,240.0,0.0,0.05,0.0,0.029,0.0,0.069,2.0,0.074,400.0
5,1003.2,3.0,0.0,0.0,300.0,0.0,0.066,0.0,0.029,0.0,0.069,2.0,0.074,400.0
6,1004.4,3.0,0.0,0.0,240.0,0.0,0.063,0.0,0.044,0.0,0.104,3.0,0.074,400.0
7,1006.0,3.0,0.0,0.0,300.0,0.0,0.096,0.0,0.058,0.0,0.139,4.0,0.074,400.0
8,1007.2,4.0,0.0,0.0,300.0,0.0,0.095,0.0,0.044,0.0,0.104,3.0,0.074,400.0
9,1008.8,4.0,0.0,0.0,300.0,0.0,0.105,0.0,0.058,0.0,0.154,4.0,0.074,400.0
10,1010.8,4.0,0.0,0.0,420.0,0.0,0.1,0.0,0.073,0.0,0.158,5.0,0.074,400.0
11,1012.8,5.0,0.0,0.0,360.0,0.0,0.125,0.0,0.073,0.0,0.174,5.0,0.074,400.0
12,1014.8,5.0,0.0,0.0,420.0,0.0,0.125,0.0,0.073,0.0,0.174,5.0,0.074,400.0
13,1016.8,6.0,0.0,0.0,420.0,0.0,0.15,0.0,0.073,0.0,0.196,5.0,0.074,400.0
14,1019.2,6.0,0.0,0.0,420.0,0.0,0.15,0.0,0.087,0.0,0.198,6.0,0.074,400.0
15,1022.0,6.0,0.0,0.0,540.0,0.0,0.15,0.0,0.102,0.0,0.231,7.0,0.074,400.0
16,1024.4,7.0,0.0,0.0,480.0,0.0,0.175,0.0,0.087,0.0,0.219,6.0,0.074,400.0
17,1027.2,7.0,0.0,0.0,540.0,0.0,0.175,0.0,0.102,0.0,0.25,7.0,0.074,400.0
18,1030.4,7.0,0.0,0.0,600.0,0.0,0.175,0.0,0.117,0.0,0.259,8.0,0.074,400.0
19,1033.2,8.0,0.0,0.0,600.0,0.0,0.2,0.0,0.113,0.0,0.278,7.0,0.074,400.0
20,1036.8,8.0,0.0,0.0,600.0,0.0,0.2,0.0,0.121,0.0,0.278,9.0,0.074,400.0
21,1040.0,9.0,0.0,0.0,660.0,0.0,0.225,0.0,0.117,0.0,0.286,8.0,0.074,400.0
22,1043.6,9.0,0.0,0.0,600.0,0.0,0.223,0.0,0.131,0.0,0.305,9.0,0.074,400.0
23,1047.2,9.0,0.0,0.0,660.0,0.0,0.227,0.0,0.131,0.0,0.34,9.0,0.074,400.0
24,1051.2,10.0,0.0,0.0,660.0,0.0,0.241,0.0,0.146,0.0,0.32,10.0,0.074,400.0
25,1055.2,10.0,0.0,0.0,660.0,0.0,0.252,0.0,0.146,0.0,0.347,10.0,0.074,400.0
26,1059.2,10.0,0.0,0.0,780.0,0.0,0.257,0.0,0.146,0.0,0.377,10.0,0.074,400.0
27,1063.6,11.0,0.0,0.0,720.0,0.0,0.275,0.0,0.16,0.0,0.359,11.0,0.074,400.0
28,1068.0,11.0,0.0,0.0,780.0,0.0,0.275,0.0,0.16,0.0,0.393,11.0,0.074,400.0
29,1072.8,11.0,0.0,0.0,840.0,0.0,0.275,0.0,0.175,0.0,0.398,12.0,0.074,400.0
30,1077.2,12.0,0.0,0.0,840.0,0.0,0.3,0.0,0.173,0.0,0.417,11.0,0.074,400.0
31,1082.4,13.0,0.0,0.0,780.0,0.0,0.31,0.0,0.177,0.0,0.417,13.0,0.074,400.0
32,1087.2,12.0,0.0,0.0,900.0,0.0,0.315,0.0,0.175,0.0,0.45,12.0,0.074,400.0
33,1092.4,13.0,0.0,0.0,960.0,0.0,0.325,0.0,0.19,0.0,0.449,13.0,0.074,400.0
34,1098.0,14.0,0.0,0.0,840.0,0.0,0.331,0.0,0.204,0.0,0.456,14.0,0.074,400.0
35,1103.2,13.0,0.0,0.0,900.0,0.0,0.344,0.0,0.19,0.0,0.485,13.0,0.074,400.0
36,1108.8,14.0,0.0,0.0,1020.0,0.0,0.35,0.0,0.208,0.0,0.487,14.0,0.074,400.0
37,1114.8,15.0,0.0,0.0,960.0,0.0,0.375,0.0,0.215,0.0,0.487,15.0,0.074,400.0
38,1120.8,15.0,0.0,0.0,1020.0,0.0,0.364,0.0,0.219,0.0,0.52,15.0,0.074,400.0
39,1126.8,15.0,0.0,0.0,960.0,0.0,0.386,0.0,0.219,0.0,0.523,15.0,0.074,400.0
40,1132.8,15.0,0.0,0.0,1020.0,0.0,0.375,0.0,0.222,0.0,0.553,15.0,0.074,400.0
41,1139.2,16.0,0.0,0.0,1140.0,0.0,0.4,0.0,0.23,0.0,0.554,16.0,0.074,400.0
42,1146.0,17.0,0.0,0.0,1080.0,0.0,0.415,0.0,0.248,0.0,0.557,17.0,0.074,400.0
43,1152.4,16.0,0.0,0.0,1080.0,0.0,0.41,0.0,0.233,0.0,0.586,16.0,0.074,400.0
44,1159.2,17.0,0.0,0.0,1140.0,0.0,0.425,0.0,0.248,0.0,0.592,17.0,0.074,400.0
45,1166.4,18.0,0.0,0.0,1140.0,0.0,0.449,0.0,0.263,0.0,0.592,18.0,0.074,400.0
46,1173.2,18.0,0.0,0.0,1140.0,0.0,0.438,0.0,0.255,0.0,0.625,17.0,0.074,400.0
47,1180.8,18.0,0.0,0.0,1140.0,0.0,0.459,0.0,0.27,0.0,0.625,19.0,0.074,400.0
48,1188.0,18.0,0.0,0.0,1260.0,0.0,0.455,0.0,0.262,0.0,0.648,18.0,0.074,400.0
49,1195.6,19.0,0.0,0.0,1320.0,0.0,0.475,0.0,0.277,0.0,0.654,19.0,0.074,400.0
50,1203.2,20.0,0.0,0.0,120.0,0.0,0.479,0.0,0.277,0.0,0.673,19.0,0.074,400.0
